Id,Price
725,151276.69245046613
15856,208759.59349121276
5480,187127.05853927022
15664,329504.41945578204
14275,143925.99666756383
7633,204325.17947738382
13329,156772.1134673931
5502,216090.37282228234
4220,309463.36555730324
11538,182387.1959956581
15975,282677.7904338183
3310,221390.42809903526
9286,149027.3181393559
11260,190920.3404847381
5214,102308.61218199621
11307,178954.88220143694
13543,387459.9574702295
615,166940.17446941603
3495,204492.59192568605
2321,218306.16935895756
12046,201854.214017646
16688,137807.26999021057
12694,221074.11125280434
783,147798.63178175577
8968,160392.60585492797
13454,179966.29859025966
12190,245492.9332238167
11160,96180.81068282378
10291,189920.68582761617
891,302543.3691157148
2982,187843.02034901368
3818,276627.1189920351
2449,196464.9079329729
8317,159252.76524176172
4922,181935.7353711839
1257,242679.53966532074
9348,209579.99006342905
4176,185917.4252608657
10704,152053.31279550862
6624,110530.21022201014
5428,185353.24567151212
12749,175685.5471289286
8994,186357.95956320962
11513,140745.78686813332
3047,190270.19785497498
9519,181906.0036078222
12309,244032.93304355067
14081,261098.58280840298
8334,267556.0423646634
6343,178441.63834812088
14788,130776.92227802637
15748,494916.06414539367
153,240551.24163546658
14149,171563.68623772368
269,178383.48250767394
5452,125464.69885573053
721,173971.94262793637
5079,323064.77822825866
2831,130548.68896202795
10614,112871.17730667406
10131,261725.10256162233
9996,313846.3329135945
3061,195728.6656190851
11733,322656.7246223349
3726,243743.18294248352
10929,231575.2028291464
9011,314435.99683497223
16182,305095.3929624737
4976,176511.2987097005
9897,243174.93751293927
1872,151440.53090451652
9205,470919.8893660289
5403,406610.71842429
14074,197264.83968596393
6268,153216.32135014964
14232,163664.03263326327
8532,226621.57737762376
7034,354472.5900089389
6553,479976.40199387853
3133,175819.1380445083
8596,210447.04241722636
12389,244302.60373361973
14462,175721.63658331934
8860,330945.6395671665
8377,291454.42126587604
6367,336277.45024595666
6917,224579.15769011655
4216,203384.7136901942
5806,171270.6616877491
5438,183203.5093406695
6632,207261.8724293019
2650,142772.23849328436
5396,197801.563507205
4044,149080.37577747993
1345,240642.0099749184
856,175445.28169235415
12791,259498.0572201014
12499,214508.379074311
12249,130818.15142814239
14641,153827.76304202864
1919,166487.05536629577
7848,197176.08533409232
10749,182936.21772213993
15554,202737.621865686
15834,186325.90446519843
1355,171711.46055509406
15451,187321.893466304
12401,197308.98541713867
10290,169766.85425561856
9462,130612.69701942545
3103,238212.04206007347
3420,127721.3247084769
12262,243291.64383669014
5032,130807.92119623274
8949,306920.4330311074
15567,219378.5378935385
16389,161633.50034262537
7809,88560.24767942392
8990,169211.8431399464
16089,254340.3475071137
12743,104615.39203693284
5132,130557.26248296551
1619,281856.4162441157
2428,86284.33868694682
16741,158512.23802138423
13193,215574.64743895642
12588,497127.76867213025
5067,173592.10095005808
14685,128573.84937955515
2292,178012.44959322835
5746,129388.23817884795
12578,164921.59629267006
14834,174941.10218249893
2147,170924.42455715878
8222,133784.42234002508
10419,256754.68952297684
11492,222325.94379032223
3006,225504.5687251815
8761,195395.1373917907
15371,399369.7464692222
16367,157557.56481017807
6317,263937.40579283284
10878,268135.76926993945
3895,150558.16939347255
8041,216568.84072938858
13428,466909.3561290236
14669,150483.93544817436
1006,174186.346508429
12271,184639.4096275205
3764,402031.14891860157
7675,202736.84293848457
11709,307276.2420474939
8629,154652.6066598774
1105,405468.27178654086
6096,189706.02377252403
11727,207681.75877542744
5157,180684.35727103482
3679,141459.2785074266
1755,129098.54067608327
7391,187966.8392543199
7425,101795.94439444081
6882,392571.9222510322
10752,379899.00477506226
7472,219327.5398979163
14320,98421.42677625266
9596,169188.07611387596
5317,203066.42660377108
7378,83122.5770678113
16154,184077.5268227392
3464,200548.42575676253
4197,232606.36372148115
9477,113257.7869411204
12705,193853.44016260016
16426,198335.48102134408
1481,73456.83509935324
9946,250386.89419553138
12025,223426.12698979687
5341,229699.71178049908
9923,296230.85463555064
7953,203783.40993680924
11066,240043.9045450293
5037,182663.22262213996
2509,189036.24538648108
4937,345227.30354402855
12089,412133.37272721576
4964,169060.07867944875
16500,264161.9998670642
4625,135615.19530163333
2363,378975.3073515643
8148,199041.08793647183
3804,181389.36697370137
4584,157274.76099694008
10694,121939.23712686879
2691,159441.17354965286
2983,225502.19660469698
13563,343403.59293649
10747,218005.63471838136
1721,204029.1146919229
2789,236772.34508037652
7214,249915.54016310995
8659,222669.34400281953
5107,313264.8451007042
3843,227499.80571513338
14610,371310.106507153
15505,160056.17213178784
5060,240666.1598599967
16055,250017.49183122843
14963,212686.03455282908
4118,143742.1178156311
1672,175011.51259873385
3209,182996.46079255198
16515,144915.05842689937
973,170962.78397460625
12529,194208.0426669997
5896,127419.35706356411
5450,283163.6630938232
3249,178966.70802252388
8911,170939.45532172476
5898,209810.26814804247
1024,189431.74322083153
4766,209233.68465588923
15804,183855.24405350597
14303,211289.39132831935
10707,181971.68353990588
6605,220480.2909853642
1138,341959.8208280521
14088,424079.77703817986
9154,173381.31088636047
8190,202424.66766718833
398,278222.8858942344
13302,246200.49231337206
9696,154834.4821817053
16786,118097.15041557346
16230,188473.94983907658
6552,190605.18128432057
923,208642.77374426395
9602,321786.8325653397
5857,242602.68715420965
8120,169008.89679446834
7134,188846.39129366243
11726,169945.07238574646
8069,118768.55576369216
12420,164019.54295271242
8604,185079.1701254245
4854,316754.67976169713
12212,188503.43698126904
12099,357033.866001347
3882,419868.6160273496
6995,308619.8980207438
10172,219257.615801673
11672,299727.6642374026
12897,280693.64517353
16097,198808.57653986703
6779,261519.24434633556
11199,201711.29153927165
10816,275325.6885762153
143,381943.38764888846
5399,204834.1138512892
3286,155270.45764756142
13706,186443.82691612677
1935,402195.28617105796
16000,168264.30915811262
2860,214180.60063607764
11407,219052.25102558697
